               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,  train/topleft_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,    val/topleft_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083594,            0.040882,            0.067409,             0.20411,            0.061208,             0.51614,             0.10564,            0.017275,           0.0041818,            0.062662,            0.037037,            0.062793,             0.19846,            0.051767,             0.00124,             0.00124,             0.08884
                   1,            0.061832,            0.034808,            0.060007,             0.19488,            0.049092,             0.24589,                0.35,             0.11127,            0.031342,            0.056083,            0.026237,            0.056249,             0.19069,            0.044611,             0.00249,             0.00249,             0.07759
                   2,            0.057106,            0.028973,            0.053262,             0.18659,            0.039718,             0.34881,             0.39385,             0.20578,            0.079672,            0.046199,            0.023258,            0.048941,             0.17786,            0.029161,           0.0037399,           0.0037399,             0.06634
                   3,             0.05792,            0.026313,             0.04623,              0.1729,            0.033759,             0.43954,             0.39952,             0.32245,             0.10709,            0.053354,            0.021517,            0.040344,             0.16089,            0.026233,           0.0049896,           0.0049896,             0.05509
                   4,            0.069437,            0.024042,            0.039502,             0.16275,            0.032307,             0.37203,              0.4479,             0.29161,            0.091891,            0.059072,            0.021249,            0.033708,             0.15097,             0.02562,           0.0062392,           0.0062392,            0.043839
                   5,            0.068479,            0.023661,            0.034277,             0.15383,            0.032007,             0.46161,             0.55132,             0.50503,             0.19088,            0.056483,            0.022423,            0.029347,             0.14357,             0.02604,           0.0074885,           0.0074885,            0.032589
                   6,            0.069405,            0.023777,            0.029968,             0.14607,            0.031323,             0.40897,             0.50431,             0.39088,             0.12725,            0.064866,            0.022736,            0.028015,              0.1368,              0.0256,           0.0087375,           0.0087375,            0.021338
                   7,            0.067759,            0.024026,            0.025902,             0.14067,            0.031365,             0.52944,             0.58748,             0.53129,             0.19838,            0.051691,            0.025447,            0.024887,             0.13417,            0.026518,           0.0099861,           0.0099861,            0.010086
                   8,            0.064863,            0.025342,            0.024632,             0.13699,            0.031393,             0.52304,             0.60585,             0.54733,             0.20379,            0.053411,            0.023269,            0.022209,             0.12865,            0.025351,           0.0099949,           0.0099949,           0.0099949
                   9,            0.062219,            0.024966,            0.022442,             0.13239,             0.03094,             0.58938,             0.60821,             0.60328,             0.23932,            0.056181,            0.023842,            0.022842,             0.12595,            0.025675,           0.0099949,           0.0099949,           0.0099949
                  10,            0.060269,            0.025421,            0.020904,              0.1294,            0.030264,             0.66631,             0.68017,             0.68131,             0.26197,            0.050626,            0.022062,            0.016208,             0.12258,            0.024609,           0.0099936,           0.0099936,           0.0099936
                  11,            0.057858,            0.024795,            0.019293,              0.1262,            0.030158,             0.67204,             0.65175,             0.64222,               0.236,            0.052814,            0.021472,            0.015407,             0.12179,             0.02668,           0.0099921,           0.0099921,           0.0099921
                  12,            0.056811,            0.024878,            0.018169,             0.12429,            0.030076,              0.7758,             0.71731,             0.77077,             0.31502,            0.046297,            0.021157,            0.016044,             0.11792,            0.024196,           0.0099905,           0.0099905,           0.0099905
                  13,            0.055096,            0.024698,            0.017296,              0.1226,            0.029347,             0.71792,             0.75966,              0.7854,             0.34819,            0.044172,            0.021513,            0.014712,             0.11573,            0.023868,           0.0099886,           0.0099886,           0.0099886
                  14,             0.05444,            0.024245,            0.016715,             0.12091,            0.028929,             0.79703,             0.77089,             0.80542,             0.33919,            0.044612,            0.020481,            0.012699,             0.11606,             0.02398,           0.0099867,           0.0099867,           0.0099867
                  15,            0.053169,            0.023701,            0.015392,             0.11969,            0.029239,             0.78478,             0.65051,             0.73822,             0.34594,            0.043596,            0.023451,            0.015593,             0.11598,            0.025304,           0.0099845,           0.0099845,           0.0099845
                  16,            0.051918,            0.023996,            0.015453,             0.11941,            0.029244,             0.76928,              0.8048,              0.8238,             0.37753,            0.040849,            0.021555,            0.012953,             0.11316,            0.024502,           0.0099822,           0.0099822,           0.0099822
                  17,            0.051296,            0.023841,            0.015201,             0.11807,            0.028565,             0.74517,             0.72523,              0.7646,              0.3623,            0.040721,            0.023183,            0.014155,             0.11356,             0.02333,           0.0099798,           0.0099798,           0.0099798
                  18,            0.050519,            0.023546,            0.014763,             0.11656,            0.028733,             0.81318,             0.78368,             0.84066,             0.38645,            0.039999,            0.020259,            0.011855,             0.11225,             0.02353,           0.0099772,           0.0099772,           0.0099772
                  19,            0.050096,            0.023549,            0.013966,             0.11573,            0.028572,             0.84852,              0.7774,             0.85943,             0.42469,            0.038892,            0.020201,            0.010468,             0.10879,            0.023737,           0.0099744,           0.0099744,           0.0099744
                  20,            0.049631,            0.023448,            0.014057,             0.11541,            0.028628,             0.82771,              0.7851,             0.84978,             0.41257,            0.037208,            0.020588,            0.011727,             0.11055,            0.023396,           0.0099715,           0.0099715,           0.0099715
                  21,             0.04865,            0.023263,            0.013445,             0.11437,            0.028471,             0.89361,             0.77048,             0.87417,             0.43569,            0.037115,            0.020183,            0.010414,              0.1088,            0.022749,           0.0099685,           0.0099685,           0.0099685
                  22,            0.048476,            0.023193,            0.013243,             0.11343,            0.028418,             0.88301,             0.80637,             0.88732,              0.4434,            0.037181,            0.020011,           0.0090962,             0.10892,            0.022884,           0.0099652,           0.0099652,           0.0099652
                  23,            0.048103,            0.023176,            0.012546,              0.1129,            0.027887,             0.84627,             0.73923,             0.82577,             0.41267,            0.036957,            0.021677,            0.011459,             0.10917,            0.024423,           0.0099618,           0.0099618,           0.0099618
                  24,            0.047708,            0.022962,             0.01274,             0.11289,            0.027369,             0.86658,              0.8035,             0.86229,             0.41144,            0.037805,            0.019329,           0.0075043,              0.1086,            0.022908,           0.0099583,           0.0099583,           0.0099583
                  25,             0.04703,             0.02257,            0.012136,              0.1115,            0.028139,             0.85078,             0.74171,             0.82755,             0.41978,            0.037585,            0.020153,            0.012417,             0.10859,             0.02411,           0.0099546,           0.0099546,           0.0099546
                  26,            0.046769,            0.023019,            0.012696,             0.11179,            0.027586,             0.88209,             0.75076,             0.83548,             0.43496,            0.036644,            0.019936,            0.010516,             0.10844,            0.022179,           0.0099508,           0.0099508,           0.0099508
                  27,            0.046376,            0.022631,            0.012237,             0.11113,            0.027907,             0.89025,              0.7837,             0.89752,             0.47444,            0.034658,             0.01941,           0.0085394,               0.105,            0.022767,           0.0099467,           0.0099467,           0.0099467
                  28,            0.046129,            0.022981,            0.011601,             0.11005,            0.027905,              0.8801,             0.80238,             0.87125,              0.4604,            0.035092,            0.019406,           0.0086564,             0.10521,            0.022988,           0.0099426,           0.0099426,           0.0099426
                  29,            0.045721,            0.022407,            0.011605,             0.10981,            0.027182,             0.91031,             0.84105,             0.90375,             0.47652,            0.034483,            0.018814,            0.008026,             0.10457,            0.022627,           0.0099383,           0.0099383,           0.0099383
                  30,            0.045252,            0.022188,            0.011214,             0.10906,            0.027313,             0.86794,             0.86021,             0.89915,              0.4954,            0.034856,            0.018894,           0.0074394,              0.1046,            0.023345,           0.0099338,           0.0099338,           0.0099338
                  31,            0.045173,            0.022477,            0.011271,             0.10912,            0.027304,             0.87664,             0.89222,             0.92637,             0.48258,            0.034169,            0.018387,           0.0071686,             0.10385,             0.02204,           0.0099291,           0.0099291,           0.0099291
